group,object,title
75.17.2-ТГП-(УГ5)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Крановый узел УГ5']",18
75.17.2-ТГП-(УГ5)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",10
75.17.2-ТГП-(УГ5)-ЭС Молниезащита и заземление,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', '75.17.2-ТГП-(УГ5)-ЭС Молниезащита и заземление']",3
75.17.2-ТГП-(УГ6)-ГП Генплан,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', '75.17.2-ТГП-(УГ6)-ГП Генплан']",1
75.17.2-ТГП-(УГ6)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",3
75.17.2-ТГП-(УГ8)-Л Линейная часть,"['4 ур Обустройство газовых кустов для закачки ПНГ в пласт ЗМЛУ c межпромысловым газопроводом', 'Строительно-монтажные работы', 'Участок крановый узел УГ2 - переход реки Мессояха']",3
8 подэтап (Куст 7),"['Строительство нефтесборных сетей (Куст 5)', 'Обустройство кустовой площадки (Куст 7)', '8 подэтап (Куст 7)']",1
WBS: Высоконапорный водовод  ЦПС - КУ№2: 325х16,"[['Проект: ОКС 853 - Высоконапорный водовод ЦПС - КУ №2', 'WBS: Высоконапорный водовод  ЦПС - КУ№2: 325х16']]",12
WBS: Высоконапорный водовод КУ№1 - КУ№2: 325х16,"[['Проект: ОКС 853 - Высоконапорный водовод КУ №1 - КУ №2', 'WBS: Высоконапорный водовод КУ№1 - КУ№2: 325х16']]",2
WBS: Куст-141.9.2.9.7 Строительные работы основания площадки КТП,"['Проект:  Куст-141 ОКС 8833 - Куст №141. Уровень 4', 'WBS: Куст-141.9.2 Обустройство', 'WBS: Куст-141.9.2.9.7 Строительные работы основания площадки КТП']",2
WBS: Куст-152.9.2.9.7 Строительные работы основания площадки КТП,"['Проект:  Куст-152 ОКС 8833 - Куст №152. Уровень 4', 'WBS: Куст-152.9.2 Обустройство', 'WBS: Куст-152.9.2.9.7 Строительные работы основания площадки КТП']",1
WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Демонтаж,"[['Проект: ОКС 0933', 'Куст скважин №2. Мачта связи (Проект 0933)', 'WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Демонтаж']]",6
WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Строительно-монтажные работы,"[['Проект: ОКС 0933', 'Куст скважин №2. Мачта связи (Проект 0933)', 'WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Строительно-монтажные работы']]",6
WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Электро-монтажные работы,"[['Проект: ОКС 0933', 'Куст скважин №2. Мачта связи (Проект 0933)', 'WBS: ОКС 0933 - Куст скважин №2. Мачта связи. Электро-монтажные работы']]",7
WBS: ОКС 0933 - Куст №136.  Инженерные сети (АС),"[['Проект: ОКС 0933 - Куст №136. Уровень 4  (3 скв.)', 'WBS: ОКС 0933 - Куст №136.  Добурка', 'WBS: ОКС 0933 - Куст №136.  Инженерные сети (АС)']]",10
WBS: ОКС 0933 - Куст №136.  Технология производства (ТХ),"[['Проект: ОКС 0933 - Куст №136. Уровень 4  (3 скв.)', 'WBS: ОКС 0933 - Куст №136.  Добурка', 'WBS: ОКС 0933 - Куст №136.  Технология производства (ТХ)']]",6
