,Unnamed: 0,group,file,guid_count,body
5834,681,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2018\11. Ноябрь\30.11.2018\Сводка СМГ по Обустройству_Премьерстрой_30.11.2018 (проект 866).xlsb,1,['идентификатор guid ']
5835,602,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Февраль\Сводки СМР за 28.02.2017\Сводка СМР ВЗ Евракор 28.02.2017.xlsx,1,['идентификатор guid ']
5837,599,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Сентябрь\Сводка СМР за 26.09.2017\СМГ ОБП ВЖК СМГ_26.09.2017 ПСД.xlsb,1,['идентификатор guid ']
5838,597,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Сентябрь\Сводка СМР за 26.09.2017\СМГ ОБП ВЖК СМГ_26.09.2017 Вега-Траст.xlsb,1,['идентификатор guid ']
5839,513,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка СМР_обустройство Евракор_29.06.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5840,514,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка СМР_обустройство Премьерстрой_ 29.06.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5841,515,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка СМР_обустройство ТИК_29.06.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5842,517,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка СМР_энергетика_Премьерстрой_29.06.2017 (проект 866).xlsb,1,['идентификатор guid ']
5843,518,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка_ СМГ_обустройство АРГОС-29 06 2017 (Проект 866).xlsb,1,['идентификатор guid ']
5844,520,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Июнь\Сводки СМР за 29.06.2017\Сводка_СМР_энергетика_Евракор_29.06.2017_(Проект 853).xlsx,1,['индефикаторguid']
5845,523,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР Велесстрой  ПСП 31.05.2017.xlsx,1,['идентификатор guid ']
5846,524,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР ВЗ Евракор 31.05.2017.xlsx,1,['идентификатор guid ']
5848,526,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР ОБП ВЖК СМГ_31.05.2017 Вега-Траст.xlsb,1,['идентификатор guid ']
5849,530,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР_обустройство Евракор_31.05.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5850,531,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР_обустройство Премьерстрой_31.05.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5851,532,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка СМР_обустройство ТИК_31.05.2017 (Проект 866).xlsb,1,['идентификатор guid ']
5852,533,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка_ СМГ_обустройство АРГОС-31 05 2017 (Проект 866).xlsb,1,['идентификатор guid ']
5853,535,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка_СМР_энергетика_Евракор_31.05.2017_(Проект 853).xlsx,1,['индефикаторguid']
5854,537,СМГ Мессояха,СМГ Мессояха\\СМГ\Сводки 2017\Май\Сводки СМР за 31.05.2017\Сводка_СМР_энергетика_Премьерстрой_31.05.2017 (Проект 866).xlsb,1,['идентификатор guid ']
